date,key,doc_count,jumlah_meninggal,jumlah_sembuh,jumlah_positif,jumlah_dirawat,jumlah_positif_kum,jumlah_sembuh_kum,jumlah_meninggal_kum,jumlah_dirawat_kum
7/1/2020,1.59E+12,1,58,789,1385,538,57770,25595,2934,29241
7/2/2020,1.59E+12,1,53,1072,1624,499,59394,26667,2987,29740
7/3/2020,1.59E+12,1,49,901,1301,351,60695,27568,3036,30091
7/4/2020,1.59E+12,1,53,651,1447,743,62142,28219,3089,30834
7/5/2020,1.59E+12,1,82,886,1607,639,63749,29105,3171,31473
7/6/2020,1.59E+12,1,70,814,1209,325,64958,29919,3241,31798
7/7/2020,1.59E+12,1,68,866,1268,334,66226,30785,3309,32132
7/8/2020,1.59E+12,1,50,800,1853,1003,68079,31585,3359,33135
7/9/2020,1.59E+12,1,58,1066,2657,1533,70736,32651,3417,34668
7/10/2020,1.59E+12,1,52,878,1611,681,72347,33529,3469,35349
7/11/2020,1.59E+12,1,66,1190,1671,415,74018,34719,3535,35764
7/12/2020,1.59E+12,1,71,919,1681,691,75699,35638,3606,36455
7/13/2020,1.59E+12,1,50,1051,1282,181,76981,36689,3656,36636
7/14/2020,1.59E+12,1,54,947,1591,590,78572,37636,3710,37226
7/15/2020,1.59E+12,1,87,1414,1522,21,80094,39050,3797,37247
7/16/2020,1.59E+12,1,76,1295,1574,203,81668,40345,3873,37450
7/17/2020,1.59E+12,1,84,1489,1462,-111,83130,41834,3957,37339
7/18/2020,1.60E+12,1,59,1434,1752,259,84882,43268,4016,37598
7/19/2020,1.60E+12,1,127,2133,1639,-621,86521,45401,4143,36977
7/20/2020,1.60E+12,1,96,1576,1693,21,88214,46977,4239,36998
7/21/2020,1.60E+12,1,81,1489,1655,85,89869,48466,4320,37083
7/22/2020,1.60E+12,1,139,1789,1882,-46,91751,50255,4459,37037
7/23/2020,1.60E+12,1,117,1909,1906,-120,93657,52164,4576,36917
7/24/2020,1.60E+12,1,89,1781,1761,-109,95418,53945,4665,36808
7/25/2020,1.60E+12,1,49,1409,1868,410,97286,55354,4714,37218
7/26/2020,1.60E+12,1,67,1301,1492,124,98778,56655,4781,37342
7/27/2020,1.60E+12,1,57,1518,1525,-50,100303,58173,4838,37292
7/28/2020,1.60E+12,1,63,2366,1748,-681,102051,60539,4901,36611
7/29/2020,1.60E+12,1,74,1599,2381,708,104432,62138,4975,37319
7/30/2020,1.60E+12,1,83,2154,1904,-333,106336,64292,5058,36986
7/31/2020,1.60E+12,1,73,1615,2040,352,108376,65907,5131,37338
8/1/2020,1.60E+12,1,62,2012,1560,-514,109936,67919,5193,36824
8/2/2020,1.60E+12,1,43,1056,1519,420,111455,68975,5236,37244
8/3/2020,1.60E+12,1,66,1262,1679,351,113134,70237,5302,37595
8/4/2020,1.60E+12,1,86,1813,1922,23,115056,72050,5388,37618
8/5/2020,1.60E+12,1,64,1839,1815,-88,116871,73889,5452,37530
8/6/2020,1.60E+12,1,69,1756,1882,57,118753,75645,5521,37587
8/7/2020,1.60E+12,1,72,1912,2473,489,121226,77557,5593,38076
8/8/2020,1.60E+12,1,65,1749,2277,463,123503,79306,5658,38539
8/9/2020,1.60E+12,1,65,1646,1893,182,125396,80952,5723,38721
8/10/2020,1.60E+12,1,42,1284,1687,361,127083,82236,5765,39082
8/11/2020,1.60E+12,1,59,1474,1693,160,128776,83710,5824,39242
8/12/2020,1.60E+12,1,79,2088,1942,-225,130718,85798,5903,39017
8/13/2020,1.60E+12,1,65,1760,2098,273,132816,87558,5968,39290
8/14/2020,1.60E+12,1,53,2060,2307,194,135123,89618,6021,39484
8/15/2020,1.60E+12,1,50,1703,2345,592,137468,91321,6071,40076
8/16/2020,1.60E+12,1,79,1782,2081,220,139549,93103,6150,40296
8/17/2020,1.60E+12,1,57,1355,1821,409,141370,94458,6207,40705
8/18/2020,1.60E+12,1,70,1848,1673,-245,143043,96306,6277,40460
8/19/2020,1.60E+12,1,69,2351,1902,-518,144945,98657,6346,39942
8/20/2020,1.60E+12,1,72,2017,2266,177,147211,100674,6418,40119
8/21/2020,1.60E+12,1,82,2317,2197,-202,149408,102991,6500,39917
8/22/2020,1.60E+12,1,94,2207,2090,-211,151498,105198,6594,39706
8/23/2020,1.60E+12,1,86,2302,2037,-351,153535,107500,6680,39355
8/24/2020,1.60E+12,1,79,3560,1877,-1762,155412,111060,6759,37593
8/25/2020,1.60E+12,1,99,1807,2447,541,157859,112867,6858,38134
8/26/2020,1.60E+12,1,86,2542,2306,-322,160165,115409,6944,37812
8/27/2020,1.60E+12,1,120,3166,2719,-567,162884,118575,7064,37245
8/28/2020,1.60E+12,1,105,2325,3003,573,165887,120900,7169,37818
8/29/2020,1.60E+12,1,92,1902,3308,1314,169195,122802,7261,39132
8/30/2020,1.60E+12,1,82,1383,2858,1393,172053,124185,7343,40525
8/31/2020,1.60E+12,1,74,1774,2743,895,174796,125959,7417,41420
9/1/2020,1.60E+12,2,88,2098,2775,589,177571,128057,7505,42009
9/2/2020,1.60E+12,1,111,1914,3075,1050,180646,129971,7616,43059
9/3/2020,1.60E+12,1,134,2084,3622,1404,184268,132055,7750,44463
9/4/2020,1.60E+12,1,82,2126,3269,1061,187537,134181,7832,45524
9/5/2020,1.60E+12,1,108,2220,3128,800,190665,136401,7940,46324
9/6/2020,1.60E+12,1,85,2174,3444,1185,194109,138575,8025,47509
9/7/2020,1.60E+12,1,105,2077,2880,698,196989,140652,8130,48207
9/8/2020,1.60E+12,1,100,2306,3046,640,200035,142958,8230,48847
9/9/2020,1.60E+12,1,106,2242,3307,959,203342,145200,8336,49806
9/10/2020,1.60E+12,1,120,2310,3861,1431,207203,147510,8456,51237
9/11/2020,1.60E+12,1,88,2707,3737,942,210940,150217,8544,52179
9/12/2020,1.60E+12,1,106,2241,3806,1459,214746,152458,8650,53638
9/13/2020,1.60E+12,1,73,2552,3636,1011,218382,155010,8723,54649
9/14/2020,1.60E+12,1,118,3395,3141,-372,221523,158405,8841,54277
9/15/2020,1.60E+12,1,124,2660,3507,723,225030,161065,8965,55000
9/16/2020,1.60E+12,1,135,3036,3963,792,228993,164101,9100,55792
9/17/2020,1.60E+12,1,122,2585,3635,928,232628,166686,9222,56720
9/18/2020,1.60E+12,1,114,4088,3891,-311,236519,170774,9336,56409
9/19/2020,1.60E+12,1,112,3576,4168,480,240687,174350,9448,56889
9/20/2020,1.60E+12,1,105,2977,3989,907,244676,177327,9553,57796
9/21/2020,1.60E+12,1,124,3470,4176,582,248852,180797,9677,58378
